CustomerID,Country,last_purchase,frequency,monetary,recency,R,F,M,RFM_Score,rfm_segment
12346,United Kingdom,2011-01-18 10:01:00,1,77183.6,346,1,1,5,7,Hibernating
12347,Iceland,2011-12-07 15:52:00,7,4310.0,23,5,5,5,15,Champions
12348,Finland,2011-09-25 13:13:00,4,1797.24,96,2,4,4,10,At Risk
12349,Italy,2011-11-21 09:51:00,1,1757.55,39,4,1,4,9,New Customers
12350,Norway,2011-02-02 16:01:00,1,334.4,331,1,1,2,4,Hibernating
12352,Norway,2011-11-03 14:37:00,8,2506.04,57,3,5,5,13,Loyal Customers
12353,Bahrain,2011-05-19 17:47:00,1,89.0,225,1,1,1,3,Hibernating
12354,Spain,2011-04-21 13:11:00,1,1079.4,253,1,1,4,6,Hibernating
12355,Bahrain,2011-05-09 13:49:00,1,459.4,235,1,1,2,4,Hibernating
12356,Portugal,2011-11-17 08:40:00,3,2811.43,43,4,3,5,12,Loyal Customers
12357,Switzerland,2011-11-06 16:07:00,1,6207.67,54,3,1,5,9,Potential Loyalists
12358,Austria,2011-12-08 10:26:00,2,1168.06,22,5,2,4,11,New Customers
12359,Cyprus,2011-10-13 12:47:00,4,6372.58,78,3,4,5,12,Loyal Customers
12360,Austria,2011-10-18 15:22:00,3,2662.06,73,3,3,5,11,Loyal Customers
12361,Belgium,2011-02-25 13:51:00,1,189.9,308,1,1,1,3,Hibernating
12362,Belgium,2011-12-06 15:40:00,10,5226.23,24,5,5,5,15,Champions
12363,Unspecified,2011-08-22 10:18:00,2,552.0,130,2,2,3,7,Hibernating
12364,Belgium,2011-12-02 10:22:00,4,1313.1,28,5,4,4,13,Champions
12365,Cyprus,2011-02-21 14:04:00,2,641.38,312,1,2,3,6,Hibernating
12367,Denmark,2011-12-05 16:48:00,1,168.9,25,5,1,1,7,New Customers
12370,Cyprus,2011-10-19 14:51:00,4,3545.69,72,3,4,5,12,Loyal Customers
12371,Switzerland,2011-10-26 10:16:00,2,1887.96,65,3,2,4,9,Potential Loyalists
12372,Denmark,2011-09-29 12:12:00,3,1298.04,92,3,3,4,10,Loyal Customers
12373,Austria,2011-02-01 13:10:00,1,364.6,332,1,1,2,4,Hibernating
12374,Austria,2011-11-14 15:37:00,1,742.93,46,4,1,3,8,New Customers
12375,Finland,2011-11-29 10:36:00,2,457.5,31,5,2,2,9,New Customers
12377,Switzerland,2011-01-28 15:45:00,2,1628.12,336,1,2,4,7,Hibernating
12378,Switzerland,2011-08-02 10:34:00,1,4008.62,150,2,1,5,8,Hibernating
12379,Belgium,2011-09-19 10:09:00,2,852.24,102,2,2,3,7,Hibernating
12380,Belgium,2011-11-18 11:27:00,4,2724.81,42,4,4,5,13,Champions
12381,Norway,2011-12-05 12:44:00,5,1845.31,25,5,4,4,13,Champions
12383,Belgium,2011-06-08 08:02:00,5,1850.56,205,1,4,4,9,At Risk
12384,Switzerland,2011-11-11 08:39:00,2,585.27,49,4,2,3,9,New Customers
12386,Australia,2011-01-06 12:37:00,2,401.9,358,1,2,2,5,Hibernating
12388,Australia,2011-11-24 12:30:00,6,2780.66,36,4,4,5,13,Champions
12390,Belgium,2011-09-21 09:33:00,1,549.84,100,2,1,3,6,Hibernating
12391,Cyprus,2011-11-18 12:07:00,1,460.89,42,4,1,2,7,New Customers
12393,Australia,2011-09-28 15:41:00,4,1582.6,93,2,4,4,10,At Risk
12394,Denmark,2011-10-07 08:08:00,2,1272.48,84,3,2,4,9,Potential Loyalists
12395,Belgium,2011-11-20 15:21:00,12,3018.63,40,4,5,5,14,Champions
12397,Belgium,2011-11-04 09:52:00,2,2409.9,56,3,2,5,10,Potential Loyalists
