CustomerID,Country,total_spent,total_orders,avg_order_value
14646,Netherlands,280206.02,73,134.97
18102,United Kingdom,259657.3,60,602.45
17450,United Kingdom,194550.79,46,577.3
16446,United Kingdom,168472.5,2,56157.5
14911,EIRE,143825.06,201,25.34
12415,Australia,124914.53,21,174.95
14156,EIRE,117379.63,55,83.84
17511,United Kingdom,91062.38,31,94.56
16029,United Kingdom,81024.84,63,334.81
12346,United Kingdom,77183.6,1,77183.6
16684,United Kingdom,66653.56,28,240.63
14096,United Kingdom,65164.79,17,12.75
13694,United Kingdom,65039.62,50,114.51
15311,United Kingdom,60767.9,91,25.54
13089,United Kingdom,58825.83,97,32.36
17949,United Kingdom,58510.48,45,835.86
15769,United Kingdom,56252.72,26,432.71
15061,United Kingdom,54534.14,48,135.32
14298,United Kingdom,51527.3,44,31.48
14088,United Kingdom,50491.81,13,85.72
