StockCode,Description,revenue,units_sold,orders
23843,"Paper Craft , Little Birdie",168469.6,80995,1
22423,Regency Cakestand 3 Tier,142592.95,12402,1703
85123A,White Hanging Heart T-Light Holder,100448.15,36725,1971
85099B,Jumbo Bag Red Retrospot,85220.78,46181,1600
23166,Medium Ceramic Top Storage Jar,81416.73,77916,195
POST,Postage,77803.96,3120,1099
47566,Party Bunting,68844.33,15291,1379
84879,Assorted Colour Bird Ornament,56580.34,35362,1375
M,Manual,53779.93,7173,253
23084,Rabbit Night Light,51346.2,27202,801
